,OrderID,CustomerID,ProductName,Brand,Raw_Weight,Country,OrderDate,UnitPrice,Weight_Numeric
0,REC-861088,6120,Perly,Perly,100 g,"Morocco,United States",2024-02-22,13.18,100.0
1,REC-900952,12550,Prince Goût Chocolat,LU,300 g,"Algeria,Belgium,France,French Polynesia,Germany,Guadeloupe,Hungary,Luxembourg,Martinique,Morocco,New Caledonia,Réunion,Spain,Switzerland,United States",2024-11-13,1.5,300.0
2,REC-595965,6705,Excellence Noir Prodigieux 90% Cacao,"Lindt EXCELLENCE,Lindt",100g,"Argelia,Austria,Bélgica,Bulgaria,Canadá,República Checa,Finlandia,Francia,Polinesia Francesa,Alemania,Irlanda,Italia,Mauricio,Marruecos,Países Bajos,Noruega,Reunión,Rumania,Singapur,España,Suecia,Suiza,Túnez,Reino Unido",2025-02-02,12.99,100.0
3,REC-942653,8645,Tonik,عربي,22 g,Maroc,2024-12-11,14.82,22.0
4,REC-885998,14430,Sésame,Gerblé,230g,"Belgium, Bulgaria, France, en:switzerland",2025-08-21,18.4,230.0
5,REC-674324,6760,Шоколад 85% какаова маса,J. D. Gross,125g,"Austria,Belgium,Bulgaria,Estonia,Finland,France,Germany,Italy,Lithuania,Slovakia,Slovenia,Spain,United Kingdom",2024-09-08,19.16,125.0
6,REC-867660,8420,CRISTALINE Eau De Source 0.5L,Cristaline,500 ml,"Belgium,Côte d'Ivoire,France,Germany,Luxembourg,Mali,Martinique,Russia,Switzerland,United Kingdom",2024-10-10,3.64,500.0
7,REC-448132,9144,Henry’s,Henry's,42g,Maroc,2024-12-30,17.59,42.0
8,REC-202400,10397,Milk chocolate bar,Unknown,150 g,"Algeria,Cameroon,France,Morocco,Spain",2024-08-04,11.08,150.0
9,REC-386572,13888,Organic 70% Dark Chocolate Bar,Green & Black's,90g,"France,Irlande,Suède,Royaume-Uni",2025-10-15,12.14,90.0
10,REC-394893,8397,KING COOKIES,Excelo,,Morocco,2025-05-25,19.74,
11,REC-965916,6325,Sable coco Henry s 42g,Unknown,42g,Maroc,2024-07-02,2.64,42.0
12,REC-735024,8672,Biscuits croquants au coeur onctueux de Nutella®,"nutella,Ferrero",304 g,"Francia,Alemania,Italia,Marruecos,Portugal,Rumania,España,Suiza",2024-12-11,10.57,304.0
13,REC-866242,13720,Tartine croustillante Authentique,wasa,275 g,"France, Italy, Spain, Switzerland, en:reunion",2024-12-16,6.25,275.0
14,REC-167785,6250,Excellence Noir Intense 70% Cacao,Lindt,100 g,"Algérie,Belgique,République tchèque,France,Allemagne,Guadeloupe,Italie,Maroc,La Réunion,Espagne,Suisse",2024-10-26,1.25,100.0
15,REC-625106,12696,Lightly sea salted crisps,Tyrrell's,150g,"France,Germany,Spain,United Kingdom",2024-09-16,1.84,150.0
16,REC-399127,6000,Dark chocolate,Green and black,90g,"Belgium, France, United Kingdom, en:ireland",2025-09-11,19.17,90.0
17,REC-506660,10724,Excellence Noir Puissant 85% Cacao,Lindt,100g,"Autriche,Belgique,France,Allemagne,Italie,Maroc,Pays-Bas,La Réunion,Espagne,Suisse",2024-12-09,14.0,100.0
18,REC-323330,14542,Fourrés Chocolat Noir,Bjorg,225 g,"France,Luxembourg,Switzerland",2024-08-12,22.91,225.0
19,REC-726018,6965,Extra dark 74% Cocoa,fin CARRÉ,100 gram,"Belgium,Bulgaria,Czech Republic,Finland,Germany,Netherlands,Poland,Spain",2025-05-26,23.07,100.0
20,REC-799477,13302,FIBRES,Wasa,230 g,"Belgique,France,Guadeloupe,Italie,La Réunion,Espagne,Suisse",2025-03-19,6.57,230.0
21,REC-169584,14120,Henry’s,Henry’s,85 g,Maroc,2024-07-02,4.31,85.0
22,REC-925173,6135,Momo black,Excelo,36 g,Maroc,2024-10-30,22.96,36.0
24,REC-739815,7944,EXTRA FINE DARK CHOCOLATE,"Lindt & Sprüngli,Lindt",100 g,"Australie,Belgique,Canada,République tchèque,Danemark,Estonie,France,Allemagne,Hongrie,Irlande,Italie,Liban,Maroc,Pays-Bas,Portugal,Serbie,Espagne,Suisse,Royaume-Uni",2024-03-13,12.4,100.0
25,REC-992581,8248,Eyoo cover,EXCELO,52,Morocco,2025-11-16,18.93,52.0
26,REC-392117,12134,Tartines craquantes au sarrasin imp,"Ekibio,Le pain des Fleurs",160 g,"Belgium,France,Luxembourg,Netherlands,Senegal,Switzerland",2025-12-09,9.41,160.0
27,REC-337268,14038,Pomme 🍏 🍎 Noisette🥜,Gerblé,230 g,"Belgium,France,French Polynesia,Germany,Guadeloupe,Martinique,Morocco,Réunion,Switzerland",2025-05-31,15.63,230.0
28,REC-974515,12699,Trios,Aperitivos company,20g,"Spain, Marruecos, en:morocco",2026-01-06,24.16,20.0
29,REC-953482,13960,Edelbitter 70% Cacao,J. D. Gross,125g,DE,2025-06-30,5.07,125.0
31,REC-212346,13782,Crunchy oats&honey,Nature Valley,42 g,"Bélgica,Francia,Alemania,Irlanda,Países Bajos,España,Suiza,Reino Unido,en:Bélgica",2024-05-25,4.18,42.0
32,REC-416664,6670,Figue & son,Gerblé,210 g,"Belgique,France,Polynésie française,Martinique,Maroc,La Réunion,Suisse",2024-11-22,17.46,210.0
33,REC-205333,10008,Bitter Extra Kraftig,"Lindt,Lindt&Sprüngli",50g,"Australia,Austria,Belgium,Bulgaria,France,Germany,Italy,Lebanon,Morocco,Romania,Spain,Switzerland,Thailand,United Kingdom",2024-11-27,2.2,50.0
35,REC-407282,13001,Petit beurre,Bé,,Morocco,2024-09-08,9.34,
36,REC-499346,14145,Pains au lait x10,Pasquier,350 g,"Belgique,France,Suisse,Royaume-Uni,États-Unis",2024-04-08,22.82,350.0
37,REC-668408,14519,Chocolat au lait,Milka,100 g,"Algeria,Austria,Bulgaria,France,Germany,Hungary,Italy,Morocco,Poland,Tunisia,United Kingdom",2024-11-01,6.24,100.0
38,REC-400480,14530,Brioche Tranchée Bio 400g,Unknown,400 g,France,2024-11-13,3.2,400.0
39,REC-936049,8846,King cookies choco,Excelo,,en:ma,2025-05-12,16.03,
40,REC-574329,11736,BIO Basmati Reis Vollkorn,"Pueblo Lindo, Nur Nur Natur",,"Austria, France, Germany, Italy, Switzerland, United Kingdom, United States, en:ireland",2024-05-26,7.62,
42,REC-955005,10000,Mix di frutta secca,Alesto,200 g,"France,Allemagne,Hongrie,Italie,Pays-Bas,Portugal,Suisse",2025-05-19,19.89,200.0
43,REC-538001,13364,Excellence Noir Subtil Doux 70% Cacao,"Lindt Excellence,Lindt",100 g,"Australia,Austria,Dinamarca,Francia,Alemania,Marruecos,Nueva Zelanda,España,Suiza",2024-07-21,20.27,100.0
44,REC-900195,13320,La gâche tranchée,Unknown,500 g,"France,Germany,Switzerland",2025-08-04,11.15,500.0
45,REC-570097,7969,Sour Cream & Onion,Pringles,165 g,"Algieria,Bułgaria,Chorwacja,Egipt,Węgry,Irak,Liban,Libia,Litwa,Maroko,Polska,Rumunia,Tunezja,Ukraina",2024-10-16,20.45,165.0
46,REC-180568,5233,Chocolat Noir 92% cacao,Dark Excellente,100 g,Morocco,2025-11-02,8.29,100.0
48,REC-326111,12644,Cracotte Céréales Complètes,"lu, LU",250,"Belgium, France, Luxembourg, Réunion, Switzerland, en:netherlands",2024-05-06,23.01,250.0
49,REC-574635,6128,Kinder Bueno,Kinder,,"Australia,Bélgica,Estonia,Francia,Grecia,Hungría,Irlanda,Italia,Letonia,Libia,Lituania,Marruecos,Nueva Zelanda,Polonia,Portugal,Rumania,España,Suiza,Reino Unido",2025-05-30,8.04,
50,REC-218223,7913,Dark Chocolate,Tesco finest,100g,United Kingdom,2025-07-05,24.8,100.0
51,REC-895633,6608,Chips,Kettle,,United Kingdom,2024-06-20,9.93,
52,REC-754969,6085,Pringles Sare,Pringles,165 g,"Armenia,Bielorrusia,Bélgica,Bosnia y Herzegovina,Bulgaria,Croacia,Francia,Hungría,Kuwait,Letonia,Líbano,Lituania,Marruecos,Polonia,Rumania,Rusia,Serbia,Suiza,Ucrania",2024-07-27,2.7,165.0
53,REC-528239,12090,wasa,"Barilla,Wasa",270 g,"France,Guadeloupe,Italy,Switzerland",2025-04-10,18.39,270.0
54,REC-540990,14397,Henry's Sable Coco Biscuit 85G,Henrys,85 g,Maroc,2025-08-06,12.49,85.0
55,REC-956271,13610,Cracotte,LU,7.35 gram,"België,Frankrijk,Luxemburg,Nederland,Zwitserland",2025-01-24,24.0,7.35
56,REC-440963,6157,Biscuit raisins,Unknown,270 g,"France,Suisse",2024-06-09,16.66,270.0
57,REC-116337,12524,Nutri+ avoine chocolat,Bjorg,130 g,France,2024-03-15,1.47,130.0
58,REC-653437,12486,Goût chocolat,BN,285 g,"Belgium,France,Morocco,Switzerland",2025-09-04,4.06,285.0
59,REC-786266,10600,digestives,McVitie's,360g,"France,Germany,Ireland,United Kingdom",2025-04-03,15.58,360.0
61,REC-981280,12427,Protein Cacahuetes🥜 & Chocolat🍫,Nature Valley,160 g (4x40 g),"Belgium,France",2026-02-01,3.37,160.0
62,REC-295140,11156,Tartines craquantes quinoa - pois chiche sans gluten,Jardin Bio,,France,2025-03-28,24.72,
63,REC-845441,11715,LIGHTLY SALTED LOW FAT CORN CAKES,kallo,,"France, United Kingdom",2025-11-15,11.73,
64,REC-649864,10711,Figolu,LUMondelez,192 g (12 x 16 g),"France,Guadeloupe",2025-03-11,2.41,192.0
65,REC-745146,9008,Krit krititas galletas saladas,"Cuétara, Krit",350g,"Israel,Marruecos,España,Portugal",2024-08-27,1.04,350.0
66,REC-595340,5792,Sour Cream & Onion,Pringles,,"France,Germany,Italy,Martinique,Mauritius,Portugal,Réunion,Thailand",2024-02-13,4.9,
67,REC-980028,11685,Crunchy avoine et miel,Nature ValleyGeneral Mills,"210 g, 5 barres doubles de 42 g",France,2025-04-29,8.94,210.0
70,REC-854220,9266,Toffifee,Süßigkeiten,125g,Germany,2024-09-28,13.2,125.0
71,REC-321774,13910,Crunchy Avoine & Chocolat Noir x 5 x 2 barres de 21 g,"General Mills,Nature Valley",210 g,France,2025-07-22,20.71,210.0
72,REC-770550,12930,Cookie🍪 cacao pépites Sans Sucre,Unknown,130 g,"Belgique,France,Polynésie française",2025-09-29,22.48,130.0
73,REC-570975,13801,Dark milk chocolate,Tesco,100g,en:united-kingdom,2025-12-27,24.54,100.0
74,REC-347253,13159,petit déjeuner miel et pépites de chocolat,belvita,435 g,"Belgium,Bulgaria,France,Germany,Morocco,Poland,Romania,Switzerland,United Kingdom",2025-03-15,7.58,435.0
75,REC-433923,8141,Biscuit soja orange,Gerblé,,"France,Guadeloupe,Martinique,Réunion",2024-12-17,5.38,
76,REC-374982,7072,Sablés Anglais L'Original,"McVitie's,United Biscuits",400 g,"France,Réunion,Switzerland,United Kingdom",2024-11-30,19.09,400.0
77,REC-833121,6028,Excellence Noir Corsé 78% Cacao,Lindt,100 g,"Australia,Czech Republic,France,Germany,Ireland,Italy,Netherlands,New Zealand,Spain,Switzerland",2025-04-28,23.01,100.0
78,REC-484365,9681,Картофельные чипсы со вкусом парики,"Pringles,Kellogg's",165g,"Bulgaria,Francia,Lituania,Marruecos,Países Bajos,Polonia,Rumania,España,Ucrania",2024-02-07,2.12,165.0
79,REC-204232,8249,Brioche moins de sucre,Harrys,485 g,France,2025-04-30,8.89,485.0
80,REC-942651,12158,Chocolat monogram,Macao,,en:ma,2025-07-25,3.33,
81,REC-818095,14040,Lentil and Pea Cakes with Beetroot and Balsamic Flavour Seasoning,kallo,122 g,United Kingdom,2025-02-09,7.77,122.0
82,REC-553814,14094,Pringles Original,"Kellogg's, Pringles",165g,"Belgium, France, Germany, Italy, Spain, United Kingdom, en:austria",2025-07-04,3.36,165.0
83,REC-996953,5970,Fourrés Chocolat au Lait,Bjorg,225 g,"France,Japon,Suisse",2024-07-18,11.61,225.0
84,REC-767742,12401,Pringles,Unknown,40g,"Bélgica,Francia,Alemania,Marruecos,Rumania,España,Suiza,Reino Unido",2024-02-25,22.67,40.0
87,REC-946193,10839,180G C OR NOIR NOISETTE,"Côte D’Or, Mondelez",180 g,"Algérie,France,Guadeloupe,Maroc,Tunisie",2025-02-17,9.67,180.0
89,REC-991303,7760,Barres de fruits secs & noix Myrtilles,nakd.,140 g,"Bélgica,República Checa,Francia,Países Bajos,España,Suiza",2024-09-05,3.46,140.0
90,REC-562005,6118,Tagger,Bimo,22g,en:Morocco,2024-08-08,3.95,22.0
91,REC-802740,13691,Goûter 4S Saveur pommes,Gerblé,360 g,"France,Luxembourg,Réunion,Switzerland",2024-03-11,10.68,360.0
92,REC-723751,14512,Wheat Biscuits,Tesco,n.48 - 912g,en:United Kingdom,2025-11-29,8.66,48.0
93,REC-379767,11844,Protein Cocoa Hazelnut Bars,"Nakd,Natural Balance Foods",135 g,"Bélgica,Francia,España,Reino Unido",2024-10-12,1.55,135.0
